ticker,year,sector,industry,market_cap,revenue,revenue_growth,cogs_pct_revenue,gross_margin,sga_pct_revenue,rd_pct_revenue,da_pct_revenue,da_pct_ppe,operating_margin,interest_pct_debt,tax_rate,net_margin,ebitda_margin,ar_days,inventory_days,ap_days,current_ratio,debt_to_equity,debt_to_assets,ppe_pct_assets,goodwill_pct_assets,cash_pct_assets,capex_pct_revenue,ocf_pct_revenue,fcf_pct_revenue,sbc_pct_revenue,dividend_pct_ni,log_revenue,log_assets,log_market_cap,total_assets,total_debt,net_income,capex,net_debt_issuance,net_equity_issuance
DECK,2025,Consumer Cyclical,Footwear & Accessories,15260941312,4985612000.0,0.16275363167227286,0.4212018504448401,0.57879814955516,0.34229920017843346,0.0,0.013724694179972288,0.12154876712182766,0.23649894937672647,0.012697896922104884,0.22296165282848293,0.19377580926875176,0.26380753255568223,24.369782486081945,86.07708568160464,72.64632379167304,3.715187267595829,0.11021630210428676,0.0775785574799762,0.15767822551461352,0.008315659510869261,0.529146962175219,0.017283936254967294,0.2095074787207669,0.1922235424657996,0.007610499974727275,0.0,22.329822001330292,21.995902018762113,23.44856254589373,3570252000.0,276975000.0,966091000.0,86171000.0,0.0,-578317000.0
DE,2022,Industrials,Farm & Heavy Construction Machinery,155111817216,51282000000.0,,0.6932646932646933,0.30673530673530675,0.07107757107757108,0.037284037284037286,0.03695253695253695,0.14468962357791862,0.176007176007176,0.020344437846018276,0.21989700887476718,0.13905463905463905,0.23563823563823563,45.623220623220625,87.66693856885689,39.978341584158414,2.1028316435344685,2.5642776440536426,0.5798178384982784,0.1454737309785627,0.058613795401532824,0.05302676885482617,0.07386607386607387,0.09163059163059163,0.017764517764517766,0.0016575016575016575,0.1841256485766372,24.660605650377846,25.223408785077904,25.767412095180745,90030000000.0,52201000000.0,7131000000.0,3788000000.0,5765000000.0,-3597000000.0
DE,2023,Industrials,Farm & Heavy Construction Machinery,155111817216,60248000000.0,0.17483717483717487,0.6297636436064268,0.3702363563935732,0.07152104634178728,0.03613397955118842,0.03326251493825521,0.14106715472335632,0.24218231310582924,0.038513471079570434,0.22052384975804593,0.16873589164785552,0.29006772009029347,46.88512481742133,79.06633809498709,33.35235359232513,2.0213064422211637,2.9101708854975783,0.6119111896778656,0.13648198141938955,0.05267708743647141,0.07165159914302459,0.0741601380958704,0.14256074890452794,0.06840061080865754,0.0021577479750365157,0.14036986031870943,24.82173521376206,25.368492924855644,25.767412095180745,104087000000.0,63692000000.0,10166000000.0,4468000000.0,11524000000.0,-7216000000.0
DE,2024,Industrials,Farm & Heavy Construction Machinery,155111817216,50518000000.0,-0.16149913690080997,0.6140979452868285,0.3859020547131715,0.08921572508808741,0.04533037729126252,0.041925650263272496,0.13838614831754328,0.22619660319094184,0.05114339397827781,0.2274603519443841,0.14054396452749515,0.29043113345738153,38.9579951700384,84.69957773264997,31.74322277020275,2.159816462736374,2.8555288985823335,0.6099795005590757,0.14261088333954527,0.050894521058516586,0.0682445024226612,0.09505522783958194,0.18272694881032503,0.0876717209707431,0.004117344312918168,0.22605633802816902,24.645595545382992,25.399080862513152,25.767412095180745,107320000000.0,65463000000.0,7100000000.0,4802000000.0,3008000000.0,-4007000000.0
DE,2025,Industrials,Farm & Heavy Construction Machinery,155111817216,44665000000.0,-0.11585969357456749,0.6351729542147095,0.3648270457852905,0.09495130415314004,0.051740736594649055,0.049904847195790886,0.13934733683420855,0.18842494122915035,0.04933852140077821,0.2012146396036439,0.11254897570804881,0.2609649613791559,44.01410500391806,96.59569968276347,38.40412407472682,2.307872438761362,2.470488714576845,0.6061549492433677,0.15091135514547718,0.052360466432695575,0.07807841805351146,0.0946602485167357,0.16699876861076907,0.07233852009403335,0.0033807231613119893,0.3421523771633181,24.5224560341226,25.386667194506842,25.767412095180745,105996000000.0,64250000000.0,5027000000.0,4228000000.0,-1642000000.0,-1138000000.0
DAL,2022,Industrials,Airlines,42342465536,50582000000.0,,0.7904985963386185,0.2095014036613815,0.03738484045707959,0.0,0.04165513423747578,0.05248474280732345,0.0723775256019928,0.03361646520744855,0.3113897596656217,0.026056700011861927,0.09983788699537385,22.918034083270726,12.998874577966737,46.609728648243085,0.5015805705474171,4.650562139167426,0.4234451084550686,0.5553480522355024,0.21780931828242586,0.04518038955289951,0.12585504725000987,0.12579573761417104,-5.9309635838835946e-05,0.0,0.0,24.646861618746943,25.003923977245837,24.469056332818845,72288000000.0,30610000000.0,1318000000.0,6366000000.0,-4475000000.0,0.0
DAL,2023,Industrials,Airlines,42342465536,58048000000.0,0.1476019137242497,0.756494625137817,0.24350537486218302,0.04020810363836825,0.0,0.040328693495038585,0.055095316545069425,0.09511094266813672,0.030570726879513215,0.17813837375178318,0.07939980705622933,0.15130581587651598,19.681125964718852,10.921822694873955,36.95466035114887,0.3887122416534181,2.456641152633949,0.3704442996034979,0.5769648579653468,0.21367660637662267,0.037219596980066265,0.09169997243660419,0.1113561190738699,0.019656146637265712,0.0,0.02777175092210892,24.78453609145631,25.02250851015495,24.469056332818845,73644000000.0,27281000000.0,4609000000.0,5323000000.0,-4071000000.0,0.0
DAL,2024,Industrials,Airlines,42342465536,61643000000.0,0.06193150496141131,0.7539379978261928,0.24606200217380725,0.04031276868419772,0.0,0.04076699706373797,0.05680508148918375,0.0972535405479941,0.03280488340433007,0.25783598110777156,0.056080982431095175,0.12844929675713382,19.089920996706844,11.215061861215707,36.519634211941906,0.3691038620172478,1.4889818871379061,0.30211484370853897,0.58694210051478,0.20867165525659395,0.040718038528896675,0.08338335252988985,0.13018509806466266,0.04680174553477281,0.0,0.09285507665606017,24.84462551592522,25.04570169021992,24.469056332818845,75372000000.0,22771000000.0,3457000000.0,5140000000.0,-3953000000.0,0.0
DAL,2025,Industrials,Airlines,42342465536,63364000000.0,0.027918822899599238,0.7583485891042232,0.24165141089577677,0.03921785240830756,0.0,0.038555015466195316,0.05312370887424707,0.09188182564232056,0.033491170957877084,0.19078415521422798,0.07898806893504198,0.14688151000568145,16.41705069124424,12.161096312328311,39.69637059851827,0.3970460469157255,0.9722342109049058,0.24932056027644897,0.5655275034740583,0.19330521293210523,0.05300244721275994,0.07100246196578498,0.131652042169055,0.06064958020326999,0.0,0.08791208791208792,24.8721617137888,25.121620933744698,24.469056332818845,81317000000.0,20274000000.0,5005000000.0,4499000000.0,-4827000000.0,0.0
DVN,2022,Energy,Oil & Gas E&P,29412933632,19169000000.0,,0.5634096718660337,0.4365903281339663,0.020606187072878084,0.0,0.11596849079242527,0.12127659574468085,0.41316709270175805,0.055248618784530384,0.2235369774919614,0.3137878866920549,0.5408732849913923,33.64573008503312,6.793055555555555,29.031018518518515,1.2531400966183575,0.5928647308781869,0.2823236794401585,0.7727330213734666,0.03174402428228152,0.06129589814931917,0.2673587563253169,0.444989305649747,0.17763054932443006,0.004590745474463978,0.5617622610141313,23.6765602278546,23.889626568745467,24.104700334044633,23721000000.0,6697000000.0,6015000000.0,5125000000.0,0.0,-718000000.0
